"division"
"Alta Verapaz"
"Baja Verapaz"
"Chimaltenango"
"Chiquimula"
"El Progreso"
"Escuintla"
"Guatemala"
"Huehuetenango"
"Izabal"
"Jalapa"
"Jutiapa"
"Petén"
"Quezaltenango"
"Quiché"
"Retalhuleu"
"Sacatepéquez"
"San Marcos"
"Santa Rosa"
"Sololá"
"Suchitepéquez"
"Totonicapán"
"Zacapa"
