"division"
"Acoua"
"Bandraboua"
"Bandrele"
"Boueni"
"Chiconi"
"Chirongui"
"Dembeni"
"Dzaoudzi"
"Kani-Keli"
"Koungou"
"M'tsangamouji"
"Mamoudzou"
"Mtsamboro"
"Ouangani"
"Pamandzi"
"Sada"
"Tsingoni"
