"division"
"Aisén del General Carlos Ibáñez del Campo"
"Antofagasta"
"Araucanía"
"Arica y Parinacota"
"Atacama"
"Bío-Bío"
"Coquimbo"
"Libertador General Bernardo O'Higgins"
"Los Lagos"
"Los Ríos"
"Magallanes y Antártica Chilena"
"Maule"
"Ñuble"
"Región Metropolitana de Santiago"
"Tarapacá"
"Valparaíso"
