"division"
"Agalega Islands"
"Black River"
"Flacq"
"Grand Port"
"Moka"
"Pamplemousses"
"Plaines Wilhems"
"Port Louis"
"Rivière du Rempart"
"Rodriguez"
"Saint Brandon "
"Savanne"
