"division"
"Abidjan"
"Bas-Sassandra"
"Comoé"
"Denguélé"
"Gôh-Djiboua"
"Lacs"
"Lagunes"
"Montagnes"
"Sassandra-Marahoué"
"Savanes"
"Vallée du Bandama"
"Woroba"
"Yamoussoukro"
"Zanzan"
