"division"
"Barh el Ghazel"
"Batha"
"Borkou"
"Chari-Baguirmi"
"Ennedi Est"
"Ennedi Ouest"
"Guéra"
"Hadjer-Lamis"
"Kanem"
"Lac"
"Logone Occidental"
"Logone Oriental"
"Mandoul"
"Mayo-Kebbi Est"
"Mayo-Kebbi Ouest"
"Moyen-Chari"
"Ouaddaï"
"Salamat"
"Sila"
"Tandjilé"
"Tibesti"
"Ville de N'Djamena"
"Wadi Fira"
