"division"
"Blekinge"
"Dalarna"
"Gävleborg"
"Gotland"
"Halland"
"Jämtland"
"Jönköping"
"Kalmar"
"Kronoberg"
"Norrbotten"
"Orebro"
"Östergötland"
"Skåne"
"Södermanland"
"Stockholm"
"Uppsala"
"Värmland"
"Västerbotten"
"Västernorrland"
"Västmanland"
"Västra Götaland"
