"division"
"Alderney"
"Brecqhou"
"Castel"
"Forest"
"Herm"
"Jethou"
"Saint Andrew"
"Saint Martin"
"Saint Peter Port"
"Saint Pierre du Bois"
"Saint Sampson"
"Saint Saviour"
"Sark"
"Torteval"
"Vale"
