"division"
"Boa Vista"
"Brava"
"Maio"
"Mosteiros"
"Paúl"
"Porto Novo"
"Praia"
"Ribeira Brava"
"Ribeira Grande"
"Ribeira Grande de Santiago"
"Sal"
"Santa Catarina"
"Santa Catarina do Fogo "
"Santa Cruz"
"São Domingos"
"São Filipe"
"São Lourenço dos Órgãos"
"São Miguel"
"São Salvador do Mundo"
"São Vicente"
"Tarrafal"
"Tarrafal de São Nicolau"
