"division"
"Addis Abeba"
"Afar"
"Amhara"
"Benshangul-Gumaz"
"Dire Dawa"
"Gambela Peoples"
"Harari People"
"Oromia"
"Somali"
"Southern Nations, Nationalities and Peoples"
"Tigray"
