"division"
"Arhangay"
"Bayan-Ölgiy"
"Bayanhongor"
"Bulgan"
"Darhan-Uul"
"Dornod"
"Dornogovi"
"Dundgovi"
"Dzavhan"
"Govi-Altay"
"Govisümber"
"Hentiy"
"Hovd"
"Hövsgöl"
"Ömnögovi"
"Orhon"
"Övörhangay"
"Selenge"
"Sühbaatar"
"Töv"
"Ulaanbaatar"
"Uvs"
