"division"
"Atlántico Norte"
"Atlántico Sur"
"Boaco"
"Carazo"
"Chinandega"
"Chontales"
"Estelí"
"Granada"
"Jinotega"
"Lago Nicaragua"
"León"
"Madriz"
"Managua"
"Masaya"
"Matagalpa"
"Nueva Segovia"
"Río San Juan"
"Rivas"
