"division"
"Cherkasy"
"Chernihiv"
"Chernivtsi"
"Crimea"
"Dnipropetrovs'k"
"Donets'k"
"Ivano-Frankivs'k"
"Kharkiv"
"Kherson"
"Khmel'nyts'kyy"
"Kiev"
"Kiev City"
"Kirovohrad"
"L'viv"
"Luhans'k"
"Mykolayiv"
"Odessa"
"Poltava"
"Rivne"
"Sevastopol'"
"Sumy"
"Ternopil'"
"Transcarpathia"
"Vinnytsya"
"Volyn"
"Zaporizhzhya"
"Zhytomyr"
