"division"
"Anse aux Pins"
"Anse Boileau"
"Anse Étoile"
"Anse Royale"
"Au Cap"
"Baie Lazare"
"Baie Sainte Anne"
"Beau Vallon"
"Bel Air"
"Belombre"
"Cascade"
"English River"
"Glacis"
"Grand' Anse"
"Grand'Anse Praslin"
"La Digue and Inner Islands"
"Les Mamelles"
"Mont Buxton"
"Mont Fleuri"
"Outer Islands"
"Plaisance"
"Pointe La Rue"
"Port Glaud"
"Roche Caïman"
"Saint Louis"
"Takamaka"
