"division"
"Amazonas"
"Ancash"
"Apurímac"
"Arequipa"
"Ayacucho"
"Cajamarca"
"Callao"
"Cusco"
"Huancavelica"
"Huánuco"
"Ica"
"Junín"
"La Libertad"
"Lambayeque"
"Lima"
"Lima Province"
"Loreto"
"Madre de Dios"
"Moquegua"
"Pasco"
"Piura"
"Puno"
"San Martín"
"Tacna"
"Tumbes"
"Ucayali"
