"division"
"Almaty"
"Aqmola"
"Aqtöbe"
"Atyrau"
"East Kazakhstan"
"Mangghystau"
"North Kazakhstan"
"Pavlodar"
"Qaraghandy"
"Qostanay"
"Qyzylorda"
"South Kazakhstan"
"West Kazakhstan"
"Zhambyl"
