"division"
"Andijon"
"Bukhoro"
"Ferghana"
"Jizzakh"
"Karakalpakstan"
"Kashkadarya"
"Khorezm"
"Namangan"
"Navoi"
"Samarkand"
"Sirdaryo"
"Surkhandarya"
"Tashkent"
"Tashkent City"
