"division"
"`Adan"
"Abyan"
"Al Bayda'"
"Al Dali'"
"Al Hudaydah"
"Al Jawf"
"Al Mahrah"
"Al Mahwit"
"Amanat Al Asimah"
"Amran"
"Dhamar"
"Hadramawt"
"Hajjah"
"Ibb"
"Lahij"
"Ma'rib"
"Raymah"
"Sa`dah"
"San`a'"
"Shabwah"
"Ta`izz"
