"division"
"Chagang-do"
"Hamgyŏng-bukto"
"Hamgyŏng-namdo"
"Hwanghae-bukto"
"Hwanghae-namdo"
"Kaesŏng"
"Kangwŏn-do"
"Kumgangsan"
"P'yŏngan-bukto"
"P'yŏngan-namdo"
"P'yŏngyang"
"Rasŏn"
"Ryanggang"
"Sinŭiju"
