"division"
"Al Ḥasakah"
"Aleppo"
"Ar Raqqah"
"As Suwayda'"
"Damascus"
"Dar`a"
"Dayr Az Zawr"
"Hamah"
"Hims"
"Idlib"
"Lattakia"
"Quneitra"
"Rif Dimashq"
"Tartus"
