"division"
"Boucle du Mouhoun"
"Cascades"
"Centre"
"Centre-Est"
"Centre-Nord"
"Centre-Ouest"
"Centre-Sud"
"Est"
"Haut-Bassins"
"Nord"
"Plateau-Central"
"Sahel"
"Sud-Ouest"
