"division"
"Azuay"
"Bolivar"
"Cañar"
"Carchi"
"Chimborazo"
"Cotopaxi"
"El Oro"
"Esmeraldas"
"Galápagos"
"Guayas"
"Imbabura"
"Loja"
"Los Rios"
"Manabi"
"Morona Santiago"
"Napo"
"Orellana"
"Pastaza"
"Pichincha"
"Santa Elena"
"Santo Domingo de los Tsachilas"
"Sucumbios"
"Tungurahua"
"Zamora Chinchipe"
