"division"
"Anhui"
"Beijing"
"Chongqing"
"Fujian"
"Gansu"
"Guangdong"
"Guangxi"
"Guizhou"
"Hainan"
"Hebei"
"Heilongjiang"
"Henan"
"Hubei"
"Hunan"
"Jiangsu"
"Jiangxi"
"Jilin"
"Liaoning"
"Nei Mongol"
"Ningxia Hui"
"Qinghai"
"Shaanxi"
"Shandong"
"Shanghai"
"Shanxi"
"Sichuan"
"Tianjin"
"Xinjiang Uygur"
"Xizang"
"Yunnan"
"Zhejiang"
