"division"
"Estuaire"
"Haut-Ogooué"
"Moyen-Ogooué"
"Ngounié"
"Nyanga"
"Ogooué-Ivindo"
"Ogooué-Lolo"
"Ogooué-Maritime"
"Wouleu-Ntem"
