"division"
"Bjelovarska-Bilogorska"
"Brodsko-Posavska"
"Dubrovacko-Neretvanska"
"Grad Zagreb"
"Istarska"
"Karlovacka"
"Koprivničko-Križevačka"
"Krapinsko-Zagorska"
"Licko-Senjska"
"Medimurska"
"Osjecko-Baranjska"
"Požeško-Slavonska"
"Primorsko-Goranska"
"Šibensko-Kninska"
"Sisacko-Moslavacka"
"Splitsko-Dalmatinska"
"Varaždinska"
"Viroviticko-Podravska"
"Vukovarsko-Srijemska"
"Zadarska"
"Zagrebačka"
