"division"
"Attapu"
"Bokeo"
"Bolikhamxai"
"Champasak"
"Houaphan"
"Khammouan"
"Louang Namtha"
"Louangphrabang"
"Oudômxai"
"Phôngsali"
"Saravan"
"Savannakhét"
"Vientiane"
"Vientiane [prefecture]"
"Xaignabouri"
"Xaisômboun"
"Xékong"
"Xiangkhoang"
