"division"
"Bântéay Méanchey"
"Batdâmbâng"
"Kâmpóng Cham"
"Kâmpóng Chhnang"
"Kâmpóng Spœ"
"Kâmpóng Thum"
"Kâmpôt"
"Kândal"
"Kaôh Kong"
"Kep"
"Krâchéh"
"Krong Pailin"
"Krong Preah Sihanouk"
"Môndól Kiri"
"Otdar Mean Chey"
"Phnom Penh"
"Pouthisat"
"Preah Vihéar"
"Prey Vêng"
"Rôtânôkiri"
"Siemréab"
"Stœng Trêng"
"Svay Rieng"
"Takêv"
"Tbong Khmum"
